Generations, Evaluations, Fitness, Time
1, 100,  508847.49486573966, 0.257124662399292
2, 179,  517541.8990924464, 0.4562373161315918
3, 258,  540026.8682223088, 0.6627621650695801
4, 337,  540026.8682223088, 0.8749105930328369
5, 416,  548597.8009407584, 1.0729684829711914
6, 495,  553505.4932099931, 1.2873048782348633
7, 574,  567488.0476063647, 1.4905712604522705
8, 653,  567488.0476063647, 1.697932481765747
9, 732,  567488.0476063647, 1.9128880500793457
10, 811,  574458.84136603, 2.1241869926452637
11, 890,  585267.9995530802, 2.3329851627349854
12, 969,  592477.2954796255, 2.542956590652466
13, 1048,  592477.2954796255, 2.7428367137908936
14, 1127,  604719.7004535999, 2.955562114715576
15, 1206,  604719.7004535999, 3.1629509925842285
16, 1285,  620468.388767019, 3.372864007949829
17, 1364,  620468.388767019, 3.583190679550171
18, 1443,  634867.2347746016, 3.792672872543335
19, 1522,  634867.2347746016, 4.003024101257324
20, 1601,  634867.2347746016, 4.212818622589111
21, 1680,  637156.5090870821, 4.4229443073272705
22, 1759,  637156.5090870821, 4.638149738311768
23, 1838,  641517.3591460212, 4.8476550579071045
24, 1917,  641598.6163882003, 5.054666996002197
25, 1996,  651215.478140133, 5.2678868770599365
26, 2075,  655477.5798417683, 5.4728991985321045
27, 2154,  655477.5798417683, 5.683062314987183
28, 2233,  655477.5798417683, 5.893111705780029
29, 2312,  656476.5207307681, 6.097754240036011
30, 2391,  659660.761955623, 6.312999248504639
31, 2470,  659660.761955623, 6.523237705230713
32, 2549,  664147.419560079, 6.732933282852173
