Generations, Evaluations, Fitness, Time
1, 100,  519801.29392657895, 0.8519341945648193
2, 200,  519801.29392657895, 1.0918493270874023
3, 300,  535465.6259198372, 1.4300155639648438
4, 400,  535465.6259198372, 1.6699390411376953
5, 500,  536075.2792555756, 1.9101734161376953
6, 600,  562657.7717818596, 2.159818172454834
7, 700,  562657.7717818596, 2.400087594985962
8, 800,  565074.9449448194, 2.65989089012146
9, 900,  565258.0228494805, 2.9199845790863037
10, 1000,  565258.0228494805, 3.2301154136657715
11, 1100,  565258.0228494805, 3.5001373291015625
12, 1200,  565258.0228494805, 3.7341229915618896
13, 1300,  565258.0228494805, 3.9813950061798096
14, 1400,  566075.2471856944, 4.227902412414551
15, 1500,  569118.531057783, 4.560009241104126
16, 1600,  575588.6634113551, 4.8021087646484375
17, 1700,  581338.0334547946, 5.059718608856201
18, 1800,  587413.179538597, 5.320013761520386
19, 1900,  587413.179538597, 5.565923690795898
20, 2000,  587413.179538597, 5.821946144104004
21, 2100,  591156.1352221528, 6.064945459365845
22, 2200,  591156.1352221528, 6.320285081863403
23, 2300,  591156.1352221528, 6.564598560333252
24, 2400,  599720.0645715116, 6.8098039627075195
25, 2500,  599720.0645715116, 7.050000190734863
