Generations, Evaluations, Fitness, Time
1, 100,  680876.6506943115, 0.14992308616638184
2, 197,  680876.6506943115, 0.3470785617828369
3, 294,  680876.6506943115, 0.5250411033630371
4, 391,  680876.6506943115, 0.6951189041137695
5, 488,  680876.6506943115, 0.8552248477935791
6, 585,  680876.6506943115, 1.0048267841339111
7, 682,  680876.6506943115, 1.145148515701294
8, 779,  680876.6506943115, 1.2849602699279785
9, 876,  680876.6506943115, 1.440397024154663
10, 973,  680876.6506943115, 1.5950424671173096
11, 1070,  680876.6506943115, 1.7502446174621582
12, 1167,  680876.6506943115, 1.9053797721862793
13, 1264,  680876.6506943115, 2.054906129837036
14, 1361,  680876.6506943115, 2.2051124572753906
15, 1458,  680876.6506943115, 2.3654279708862305
16, 1555,  680876.6506943115, 2.525015354156494
17, 1652,  680876.6506943115, 2.695368528366089
18, 1749,  680876.6506943115, 2.854881763458252
19, 1846,  680876.6506943115, 3.0149683952331543
20, 1943,  680876.6506943115, 3.1801133155822754
21, 2040,  680876.6506943115, 3.340235710144043
22, 2137,  680876.6506943115, 3.5051631927490234
23, 2234,  680876.6506943115, 3.670318126678467
24, 2331,  680876.6506943115, 3.835143804550171
25, 2428,  680876.6506943115, 3.9949543476104736
26, 2525,  680876.6506943115, 4.14541220664978
