Generations, Evaluations, Fitness, Time
1, 100,  680876.6506943115, 0.21683955192565918
2, 197,  680876.6506943115, 0.50008225440979
3, 294,  680876.6506943115, 0.7495477199554443
4, 391,  680876.6506943115, 0.9846677780151367
5, 488,  680876.6506943115, 1.2040624618530273
6, 585,  680876.6506943115, 1.419856071472168
7, 682,  680876.6506943115, 1.6498081684112549
8, 779,  680876.6506943115, 1.8671600818634033
9, 876,  680876.6506943115, 2.0829293727874756
10, 973,  680876.6506943115, 2.316666841506958
11, 1070,  680876.6506943115, 2.549722194671631
12, 1167,  680876.6506943115, 2.7495100498199463
13, 1264,  680876.6506943115, 2.9828073978424072
14, 1361,  680876.6506943115, 3.1999471187591553
15, 1458,  680876.6506943115, 3.449451208114624
16, 1555,  680876.6506943115, 3.683145046234131
17, 1652,  680876.6506943115, 4.099512100219727
18, 1749,  680876.6506943115, 4.555370092391968
19, 1846,  680876.6506943115, 4.849537372589111
20, 1943,  680876.6506943115, 5.158263683319092
21, 2040,  680876.6506943115, 5.400348424911499
22, 2137,  680876.6506943115, 5.632975339889526
23, 2234,  680876.6506943115, 5.849546432495117
24, 2331,  680876.6506943115, 6.065272331237793
25, 2428,  680876.6506943115, 6.282896041870117
26, 2525,  680876.6506943115, 6.482669830322266
27, 2622,  680876.6506943115, 6.750392436981201
28, 2719,  680876.6506943115, 6.966634511947632
29, 2816,  680876.6506943115, 7.200080871582031
30, 2913,  680876.6506943115, 7.433111667633057
31, 3010,  680876.6506943115, 7.64981484413147
32, 3107,  680876.6506943115, 7.882898807525635
33, 3204,  680876.6506943115, 8.099782466888428
34, 3301,  680876.6506943115, 8.318642616271973
35, 3398,  680876.6506943115, 8.565095901489258
36, 3495,  680876.6506943115, 8.805399656295776
37, 3592,  680876.6506943115, 9.033024072647095
38, 3689,  680876.6506943115, 9.282883167266846
39, 3786,  680876.6506943115, 9.499521732330322
40, 3883,  680876.6506943115, 9.716362953186035
41, 3980,  680876.6506943115, 9.982912302017212
42, 4077,  680876.6506943115, 10.199363708496094
43, 4174,  680876.6506943115, 10.4486243724823
44, 4271,  680876.6506943115, 10.666688680648804
45, 4368,  680876.6506943115, 10.882667541503906
46, 4465,  680876.6506943115, 11.117316007614136
47, 4562,  680876.6506943115, 11.365955829620361
48, 4659,  680876.6506943115, 11.599714994430542
49, 4756,  680876.6506943115, 11.8323814868927
50, 4853,  680876.6506943115, 12.049363136291504
51, 4853,  821657.7760011487, 228.4235725402832
52, 4853,  886673.2926840147, 445.54723477363586
53, 4853,  886673.2926840147, 445.57973766326904
54, 4950,  886673.2926840147, 446.4472291469574
55, 5047,  886673.2926840147, 447.2136929035187
56, 5144,  886673.2926840147, 447.930926322937
57, 5241,  886673.2926840147, 448.6446900367737
58, 5338,  886673.2926840147, 449.3476502895355
59, 5435,  886673.2926840147, 450.01965737342834
60, 5532,  886673.2926840147, 450.64752984046936
61, 5629,  886673.2926840147, 451.1972029209137
62, 5726,  886673.2926840147, 451.7148208618164
63, 5823,  886673.2926840147, 452.34760761260986
64, 5920,  886673.2926840147, 452.89588689804077
65, 6017,  886673.2926840147, 453.33096504211426
66, 6114,  886673.2926840147, 453.7310092449188
67, 6211,  886673.2926840147, 454.20503306388855
68, 6308,  886673.2926840147, 454.71637177467346
69, 6405,  886673.2926840147, 455.18065118789673
70, 6502,  886673.2926840147, 455.6476662158966
71, 6599,  886673.2926840147, 456.1651351451874
72, 6696,  886673.2926840147, 456.5959646701813
73, 6793,  886673.2926840147, 456.9971036911011
74, 6890,  886673.2926840147, 457.38058161735535
75, 6987,  886673.2926840147, 457.76790475845337
76, 7084,  886673.2926840147, 458.09653878211975
77, 7181,  886673.2926840147, 458.4304995536804
78, 7278,  886673.2926840147, 458.7811677455902
79, 7375,  886673.2926840147, 459.0967538356781
80, 7472,  886673.2926840147, 459.41338562965393
81, 7569,  886673.2926840147, 459.7302441596985
82, 7666,  886673.2926840147, 460.04717111587524
83, 7763,  886673.2926840147, 460.38027691841125
84, 7860,  886673.2926840147, 460.697119474411
85, 7957,  886673.2926840147, 461.3009521961212
86, 8054,  886673.2926840147, 462.0969617366791
87, 8151,  886673.2926840147, 462.61349654197693
88, 8248,  886673.2926840147, 462.99704098701477
89, 8345,  886673.2926840147, 463.330130815506
90, 8442,  886673.2926840147, 463.6634433269501
91, 8539,  886673.2926840147, 463.9803328514099
92, 8636,  886673.2926840147, 464.33030128479004
93, 8733,  886673.2926840147, 464.6634449958801
94, 8830,  886673.2926840147, 464.99670791625977
95, 8927,  886673.2926840147, 465.36325883865356
96, 9024,  886673.2926840147, 465.76385283470154
97, 9121,  886673.2926840147, 466.19672679901123
98, 9218,  886673.2926840147, 466.59660935401917
99, 9315,  886673.2926840147, 466.99568819999695
100, 9412,  886673.2926840147, 467.3963770866394
101, 9412,  892452.9998814194, 671.5715734958649
102, 9412,  892960.2633673882, 889.9995150566101
103, 9412,  892960.2633673882, 890.0296401977539
